route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,shape_id
5,L5S1_008-SAB,Sabados,L5S1_008-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_009-LAB,Laborables,L5S1_009-LAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_009-SAB,Sabados,L5S1_009-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_010-LAB,Laborables,L5S1_010-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_010-SAB,Sabados,L5S1_010-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_011-LAB,Laborables,L5S1_011-LAB,ARKAIATE / ARIÑEZ,0,sha-fca64b9a
5,L5S1_011-SAB,Sabados,L5S1_011-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_012-DOM,Domingos,L5S1_012-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_012-LAB,Laborables,L5S1_012-LAB,ARIÑEZ / ARKAIATE,1,sha-e577b0fe
5,L5S1_012-SAB,Sabados,L5S1_012-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_013-LAB,Laborables,L5S1_013-LAB,ARKAIATE / JUNDIZ ITV,0,sha-055a576e
5,L5S1_013-SAB,Sabados,L5S1_013-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_014-LAB,Laborables,L5S1_014-LAB,JUNDIZ ITV / ARKAIATE,1,sha-b732b0d6
5,L5S1_014-SAB,Sabados,L5S1_014-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_015-DOM,Domingos,L5S1_015-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_015-LAB,Laborables,L5S1_015-LAB,ARKAIATE / ARIÑEZ,0,sha-fca64b9a
5,L5S1_015-SAB,Sabados,L5S1_015-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_016-LAB,Laborables,L5S1_016-LAB,ARIÑEZ / ARKAIATE,1,sha-e577b0fe
5,L5S1_016-SAB,Sabados,L5S1_016-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_017-LAB,Laborables,L5S1_017-LAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_017-SAB,Sabados,L5S1_017-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_018-SAB,Sabados,L5S1_018-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_019-SAB,Sabados,L5S1_019-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_020-DOM,Domingos,L5S1_020-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_020-SAB,Sabados,L5S1_020-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_021-SAB,Sabados,L5S1_021-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_023-DOM,Domingos,L5S1_023-DOM,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_028-DOM,Domingos,L5S1_028-DOM,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_031-DOM,Domingos,L5S1_031-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_036-DOM,Domingos,L5S1_036-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_039-DOM,Domingos,L5S1_039-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_044-DOM,Domingos,L5S1_044-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_047-DOM,Domingos,L5S1_047-DOM,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
