stop_id,stop_name,stop_lat,stop_lon,stop_code,zone_id,stop_timezone,stop_url,level_id,parent_station
1367,Zurrupitieta / Mendigorritxu,42.837865,-2.745354,1367,1,Europe/Madrid,,,
1227,Naciones Unidas 1,42.845329,-2.695142,1227,1,Europe/Madrid,,,
1038,Plaza Zuberoa,42.854497,-2.668132,1038,1,Europe/Madrid,,,
1400,Gabriel Martínez Aragón,42.847517,-2.638502,1400,1,Europe/Madrid,,,
1208,Jundiz / Paduleta,42.832313,-2.734530,1208,1,Europe/Madrid,,,
1115,Portal Gamarra 41,42.873297,-2.658036,1115,1,Europe/Madrid,,,
1394,Jacinto Benavente 2,42.845317,-2.658369,1394,1,Europe/Madrid,,,
1350,Bremen 15,42.853490,-2.708570,1350,1,Europe/Madrid,,,
1363,Zurrupitieta / Jundiz,42.841947,-2.736915,1363,1,Europe/Madrid,,,
1390,Ariñez Concejo,42.828711,-2.749810,1390,1,Europe/Madrid,,,
1219,Mendigorritxu,42.840585,-2.746766,1219,1,Europe/Madrid,,,
1224,Derechos Humanos 29,42.841890,-2.705625,1224,1,Europe/Madrid,,,
1132,Intermodal,42.860333,-2.682977,1132,1,Europe/Madrid,,,
1114,Gamarra Mayor,42.876958,-2.657355,1114,1,Europe/Madrid,,,
1335,Av. Los Huetos 2,42.853101,-2.696454,1335,1,Europe/Madrid,,,
1168,Basoa,42.854731,-2.676896,1168,1,Europe/Madrid,,,
1328,Elvira Zulueta,42.840898,-2.683429,1328,1,Europe/Madrid,,,
1211,Basaldea / Gerezpea,42.838709,-2.730666,1211,1,Europe/Madrid,,,
1124,Portal Gamarra / Cantábrico,42.864255,-2.660961,1124,1,Europe/Madrid,,,
1318,Portal Bergara / Eskalmendi,42.873594,-2.646368,1318,1,Europe/Madrid,,,
1338,Bruselas / Portal Elorriaga,42.849741,-2.647297,1338,1,Europe/Madrid,,,
1236,Av. Bruselas / Joaquín Collar,42.851219,-2.654706,1236,1,Europe/Madrid,,,
1089,Harrobi,42.862658,-2.655928,1089,1,Europe/Madrid,,,
1345,Portal Zurbano 2,42.864010,-2.650940,1345,1,Europe/Madrid,,,
1174,Av. Los Huetos / Borinbizkarra,42.854850,-2.705120,1174,1,Europe/Madrid,,,
1083,Madrid / 8 de marzo,42.854711,-2.657160,1083,1,Europe/Madrid,,,
1082,Madrid / Aranzabela,42.852982,-2.657280,1082,1,Europe/Madrid,,,
1151,Castilla 67,42.839947,-2.690089,1151,1,Europe/Madrid,,,
1086,Durana Pueblo,42.890694,-2.639972,1086,1,Europe/Madrid,,,
1055,Mendizorrotza,42.838486,-2.687537,1055,1,Europe/Madrid,,,
1144,Camino Armentia,42.834701,-2.703871,1144,1,Europe/Madrid,,,
1187,Urartea / San Miguel Atxa,42.862369,-2.710929,1187,1,Europe/Madrid,,,
1170,Bº Tomás Zumarraga 76,42.851174,-2.687597,1170,1,Europe/Madrid,,,
1231,Portal Elorriaga / Ambulatorio,42.848770,-2.651825,1231,1,Europe/Madrid,,,
1372,Teresa Calcuta 15,42.847640,-2.692928,1372,1,Europe/Madrid,,,
1186,Urartea / Vitoriabidea,42.860440,-2.709542,1186,1,Europe/Madrid,,,
1041,Juan de Garay / Arriaga,42.860230,-2.678600,1041,1,Europe/Madrid,,,
1147,Camino Armentia,42.834592,-2.703881,1147,1,Europe/Madrid,,,
1167,Valladolid / Andalucía,42.851998,-2.659115,1167,1,Europe/Madrid,,,
1361,Lermandabidea / Jundiz,42.846926,-2.738759,1361,1,Europe/Madrid,,,
1356,Consultas externas,42.854332,-2.691678,1356,1,Europe/Madrid,,,
1324,Naciones Unidas / Paseo Unicef,42.846358,-2.700008,1324,1,Europe/Madrid,,,
1240,Zabalgana 39,42.844049,-2.696862,1240,1,Europe/Madrid,,,
1127,Landaberde,42.869456,-2.690402,1127,1,Europe/Madrid,,,
1320,Paula Montal / Casas Rojas,42.855688,-2.703252,1320,1,Europe/Madrid,,,
1263,Antonio Machado / Pasaje,42.857340,-2.701650,1263,1,Europe/Madrid,,,
1108,Betoño Pueblo,42.863197,-2.654833,1108,1,Europe/Madrid,,,
1053,Unibertsitatea,42.836687,-2.672782,1053,1,Europe/Madrid,,,
1396,Trianas,42.837143,-2.662541,1396,1,Europe/Madrid,,,
1107,Portal Betoño / I.D. arte,42.861235,-2.657526,1107,1,Europe/Madrid,,,
1234,Bulevar Salburua 7,42.847131,-2.649846,1234,1,Europe/Madrid,,,
1383,Iruña Veleia / Reina Sofía,42.836802,-2.705740,1383,1,Europe/Madrid,,,
1374,Juan Ángel Sáez,42.843786,-2.685388,1374,1,Europe/Madrid,,,
1046,Madrid / Valladolid,42.852973,-2.657636,1046,1,Europe/Madrid,,,
1365,Lermandabidea / Araneta,42.844601,-2.743405,1365,1,Europe/Madrid,,,
1178,Adriano VI 1,42.846580,-2.679838,1178,1,Europe/Madrid,,,
1093,Portal Legutiano 41,42.856752,-2.664104,1093,1,Europe/Madrid,,,
1276,Derechos Humanos / Reina Sofía,42.841985,-2.701259,1276,1,Europe/Madrid,,,
1404,Aragoi  -  Aragón,42.848648,-2.656821,1404,1,Europe/Madrid,,,
1298,Catedral,42.845036,-2.676610,1298,1,Europe/Madrid,,,
1376,Venta La Estrella / Oreitiasolo,42.836930,-2.657600,1376,1,Europe/Madrid,,,
1109,Portal Zurbano / Biosfera,42.863657,-2.646460,1109,1,Europe/Madrid,,,
1073,Castillo Fontecha / Castilla,42.840616,-2.691274,1073,1,Europe/Madrid,,,
1246,Antonio Machado 58,42.858907,-2.697072,1246,1,Europe/Madrid,,,
1018,Av. Gasteiz 54,42.850461,-2.680785,1018,1,Europe/Madrid,,,
1207,Paduleta / Uzbina,42.831167,-2.738766,1207,1,Europe/Madrid,,,
1218,Zurrupitieta / Mendigorritxu,42.837916,-2.745589,1218,1,Europe/Madrid,,,
1198,Basaldea / Zurrupitieta,42.843489,-2.732307,1198,1,Europe/Madrid,,,
1002,Juan de Garay / Paraguay,42.860319,-2.677475,1002,1,Europe/Madrid,,,
1163,Portal Foronda 64,42.868626,-2.687715,1163,1,Europe/Madrid,,,
1036,José Mardones,42.849357,-2.665772,1036,1,Europe/Madrid,,,
1121,Zalduondo,42.826893,-2.674723,1121,1,Europe/Madrid,,,
1028,Av. Gasteiz 19,42.844521,-2.682503,1028,1,Europe/Madrid,,,
1012,Catedral,42.844676,-2.677132,1012,1,Europe/Madrid,,,
